feature,mean_importance
Parch,-0.0032058846283229856
Ticket_pc,-0.001782466837062413
Name_elizabeth,-0.001019637133707152
Name_edward,-0.0006559289577542038
Name_john,-0.00035596343938448793
Name_william,-0.0003329540899491334
Name_thomas,0.0
Ticket_19950,0.0
Ticket_2123,0.0
Ticket_2144,0.0
Ticket_230136,0.0
Ticket_231919,0.0
Ticket_2343,0.0
Ticket_237736,0.0
Ticket_243847,0.0
Ticket_24160,0.0
Ticket_19943,0.0
Ticket_244367,0.0
Ticket_248727,0.0
Ticket_250647,0.0
Ticket_250649,0.0
Ticket_2627,0.0
Ticket_2653,0.0
Ticket_2665,0.0
Ticket_239853,0.0
Ticket_19928,0.0
Ticket_17757,0.0
Ticket_2666,0.0
Ticket_soton,0.0
Name_van,0.0
Name_vander,0.0
Ticket_111361,0.0
Ticket_113505,0.0
Ticket_113572,0.0
Ticket_113760,0.0
Ticket_113781,0.0
Ticket_113789,0.0
Ticket_113806,0.0
Ticket_11751,0.0
Ticket_13507,0.0
Ticket_13529,0.0
Ticket_14879,0.0
Ticket_1601,0.0
Ticket_17421,0.0
Ticket_17474,0.0
Ticket_17572,0.0
Ticket_17582,0.0
Ticket_17611,0.0
Ticket_17755,0.0
Ticket_17760,0.0
Ticket_2668,0.0
Ticket_29106,0.0
Ticket_28403,0.0
Ticket_349206,0.0
Ticket_349207,0.0
Ticket_349213,0.0
Ticket_349216,0.0
Ticket_349221,0.0
Ticket_349222,0.0
Ticket_349223,0.0
Ticket_349224,0.0
Ticket_349225,0.0
Ticket_349205,0.0
Ticket_349227,0.0
Ticket_349909,0.0
Ticket_367226,0.0
Ticket_36973,0.0
Ticket_371110,0.0
Ticket_376564,0.0
Ticket_382652,0.0
Ticket_4133,0.0
Ticket_54636,0.0
Ticket_5735,0.0
Ticket_349237,0.0
Ticket_349203,0.0
Ticket_349201,0.0
Ticket_348124,0.0
Name_thayer,0.0
Ticket_3101278,0.0
Ticket_3101279,0.0
Ticket_3101295,0.0
Ticket_31921,0.0
Ticket_33112,0.0
Ticket_3336,0.0
Ticket_345773,0.0
Ticket_34651,0.0
Ticket_347054,0.0
Ticket_347078,0.0
Ticket_347080,0.0
Ticket_347082,0.0
Ticket_347083,0.0
Ticket_347085,0.0
Ticket_347087,0.0
Ticket_347088,0.0
Ticket_3474,0.0
Ticket_347470,0.0
Ticket_347742,0.0
Ticket_347743,0.0
Ticket_2699,0.0
Name_tannous,0.0
Name_skoog,0.0
Name_sofia,0.0
Name_collyer,0.0
Name_daniel,0.0
Name_david,0.0
Name_douglas,0.0
Name_dr,0.0
Name_edith,0.0
Name_elisabeth,0.0
Name_ellen,0.0
Name_elsie,0.0
Name_charles,0.0
Name_emily,0.0
Name_ernst,0.0
Name_eugene,0.0
Name_florence,0.0
Name_fortune,0.0
Name_francis,0.0
Name_frank,0.0
Name_frederick,0.0
Name_george,0.0
Name_goodwin,0.0
Name_ernest,0.0
Name_graham,0.0
Name_catherine,0.0
Name_carl,0.0
Ticket_sc,0.0
Ticket_pp,0.0
Ticket_paris,0.0
Ticket_oq,0.0
Name_ada,0.0
Name_albert,0.0
Name_alexander,0.0
Name_alfred,0.0
Name_alice,0.0
Name_carter,0.0
Name_amy,0.0
Name_andrew,0.0
Name_anna,0.0
Name_anne,0.0
Name_annie,0.0
Name_arthur,0.0
Name_augusta,0.0
Name_benjamin,0.0
Name_brown,0.0
Name_campbell,0.0
Name_andersson,0.0
Name_svensson,0.0
Name_gustaf,0.0
Name_harry,0.0
Ticket_line,0.0
Ticket_ca,0.0
Name_nora,0.0
Name_norman,0.0
Name_olof,0.0
Name_olsen,0.0
Name_palsson,0.0
Name_panula,0.0
Name_patrick,0.0
Name_percival,0.0
Name_peter,0.0
Name_rev,0.0
Name_rice,0.0
Name_richard,0.0
Name_robert,0.0
Name_sage,0.0
Name_samuel,0.0
Name_sidney,0.0
Ticket_6607,0.0
Name_harris,0.0
Ticket_o2,0.0
Name_matilda,0.0
Name_martin,0.0
Name_henry,0.0
Name_hugh,0.0
Name_jakob,0.0
Name_james,0.0
Name_jane,0.0
Name_johan,0.0
Name_johansson,0.0
Name_johnson,0.0
Name_joseph,0.0
Name_mary,0.0
Name_jr,0.0
Name_jussila,0.0
Name_karl,0.0
Name_kate,0.0
Name_katie,0.0
Name_leonard,0.0
Name_louise,0.0
Name_margaret,0.0
Name_maria,0.0
Name_marie,0.0
Name_juha,0.0
Ticket_751,0.0
Name_williams,5.5630746133483734e-05
Name_mrs,0.0019432357531026345
Embarked,0.001985875309370955
Ticket_ston,0.0022272428321960746
Cabin,0.0034382129841484033
Name_miss,0.005485212594320221
SibSp,0.006245258743444571
Age,0.008676579994898658
Name_master,0.02822203043445397
Fare,0.06784708125505626
Name_mr,0.07051416535029678
Sex,0.21484331400770446
Pclass,0.25761583915746045
